team,side,player_name,player_id,game_id,"last_name, first_name",year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba
Boston Red Sox,away,Kristian Campbell,692225,777951,"Campbell, Kristian",2025.0,23.0,129.0,149.0,34.0,22.0,8.0,0.0,4.0,39.0,19.0,26.2,12.8,0.264,0.419,0.356,0.775,0.257,0.425,0.345,0.341
Boston Red Sox,away,Wilyer Abreu,677800,777951,"Abreu, Wilyer",2025.0,26.0,136.0,158.0,38.0,21.0,7.0,0.0,10.0,31.0,22.0,19.6,13.9,0.279,0.551,0.38,0.931,0.285,0.605,0.397,0.411
Boston Red Sox,away,Trevor Story,596115,777951,"Story, Trevor",2025.0,32.0,160.0,169.0,39.0,31.0,2.0,0.0,6.0,51.0,7.0,30.2,4.1,0.244,0.369,0.284,0.653,0.243,0.399,0.291,0.296
Boston Red Sox,away,Abraham Toro,647351,777951,"Toro, Abraham",2025.0,28.0,14.0,14.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,14.3,0.0,0.143,0.143,0.143,0.286,0.193,0.251,0.128,0.189
Boston Red Sox,away,Connor Wong,657136,777951,"Wong, Connor",2025.0,29.0,38.0,42.0,6.0,6.0,0.0,0.0,0.0,12.0,3.0,28.6,7.1,0.158,0.158,0.238,0.396,0.251,0.378,0.195,0.313
Boston Red Sox,away,Ceddanne Rafaela,678882,777951,"Rafaela, Ceddanne",2025.0,24.0,124.0,137.0,30.0,20.0,6.0,2.0,2.0,24.0,8.0,17.5,5.8,0.242,0.371,0.296,0.667,0.285,0.509,0.296,0.363
Philadelphia Phillies,home,Trea Turner,607208,777953,"Turner, Trea",2025.0,32.0,155.0,170.0,48.0,39.0,7.0,0.0,2.0,31.0,13.0,18.2,7.6,0.31,0.394,0.371,0.765,0.266,0.386,0.344,0.316
Philadelphia Phillies,home,Bryce Harper,547180,777953,"Harper, Bryce",2025.0,32.0,152.0,181.0,36.0,21.0,8.0,0.0,7.0,37.0,28.0,20.4,15.5,0.237,0.428,0.354,0.782,0.269,0.502,0.345,0.379
Philadelphia Phillies,home,Kyle Schwarber,656941,777953,"Schwarber, Kyle",2025.0,32.0,145.0,178.0,39.0,21.0,3.0,1.0,14.0,37.0,29.0,20.8,16.3,0.269,0.593,0.404,0.997,0.282,0.625,0.427,0.436
Philadelphia Phillies,home,Nick Castellanos,592206,777953,"Castellanos, Nick",2025.0,33.0,153.0,165.0,42.0,28.0,10.0,0.0,4.0,32.0,10.0,19.4,6.1,0.275,0.418,0.321,0.739,0.273,0.456,0.326,0.336
Philadelphia Phillies,home,J.T. Realmuto,592663,777953,"Realmuto, J.T.",2025.0,34.0,124.0,139.0,30.0,20.0,6.0,1.0,3.0,35.0,15.0,25.2,10.8,0.242,0.379,0.324,0.703,0.265,0.442,0.313,0.342
Philadelphia Phillies,home,Alec Bohm,664761,777953,"Bohm, Alec",2025.0,28.0,145.0,155.0,36.0,29.0,5.0,1.0,1.0,28.0,6.0,18.1,3.9,0.248,0.317,0.29,0.607,0.276,0.415,0.273,0.326
Philadelphia Phillies,home,Edmundo Sosa,624641,777953,"Sosa, Edmundo",2025.0,29.0,45.0,50.0,15.0,11.0,4.0,0.0,0.0,11.0,4.0,22.0,8.0,0.333,0.422,0.38,0.802,0.3,0.393,0.354,0.326
Philadelphia Phillies,home,Weston Wilson,642215,777953,"Wilson, Weston",2025.0,30.0,10.0,10.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,30.0,0.0,0.3,0.6,0.3,0.9,0.354,0.673,0.387,0.436
