player_id,player_name,Pitcher Handedness,pa,ab,hit,single,double,triple,home_run,walk,strikeout,batting_avg,slg_percent
656941,"Schwarber, Kyle",R,329,276,68,32,10,0,26,50,89,0.2463768115942029,0.5652173913043478
657136,"Wong, Connor",L,29,24,3,3,0,0,0,4,8,0.125,0.125
657136,"Wong, Connor",R,102,92,17,13,4,0,0,8,21,0.18478260869565216,0.22826086956521738
657656,"Laureano, Ramón",L,115,97,27,17,5,0,5,11,23,0.27835051546391754,0.4845360824742268
657656,"Laureano, Ramón",R,220,194,60,33,14,2,11,20,55,0.30927835051546393,0.5721649484536082
660162,"Moncada, Yoán",L,23,19,2,1,1,0,0,3,6,0.10526315789473684,0.15789473684210525
660162,"Moncada, Yoán",R,157,136,34,19,6,1,8,20,39,0.25,0.4852941176470588
660271,"Ohtani, Shohei",L,172,154,47,27,6,4,10,15,51,0.3051948051948052,0.5909090909090909
660271,"Ohtani, Shohei",R,349,294,81,37,9,3,32,50,93,0.2755102040816326,0.6530612244897959
660821,"Sánchez, Jesús",L,64,59,7,5,1,0,1,5,18,0.11864406779661017,0.1864406779661017
660821,"Sánchez, Jesús",R,317,282,80,51,16,4,9,27,58,0.28368794326241137,0.4645390070921986
661388,"Contreras, William",L,138,114,30,23,4,0,3,21,25,0.2631578947368421,0.37719298245614036
661388,"Contreras, William",R,353,301,80,54,17,0,9,42,62,0.26578073089701,0.4119601328903654
662139,"Varsho, Daulton",L,29,26,5,5,0,0,0,2,10,0.19230769230769232,0.19230769230769232
662139,"Varsho, Daulton",R,103,92,24,5,6,1,12,7,28,0.2608695652173913,0.7391304347826086
663368,"Perkins, Blake",L,25,23,8,4,2,0,2,2,6,0.34782608695652173,0.6956521739130435
663368,"Perkins, Blake",R,50,44,10,6,2,1,1,4,17,0.22727272727272727,0.38636363636363635
663457,"Nootbaar, Lars",L,141,120,25,19,4,0,2,19,37,0.20833333333333334,0.2916666666666667
663457,"Nootbaar, Lars",R,270,233,56,33,13,0,10,32,54,0.24034334763948498,0.4248927038626609
663538,"Hoerner, Nico",L,114,106,36,25,7,2,2,6,6,0.33962264150943394,0.5
663538,"Hoerner, Nico",R,357,316,89,74,12,1,2,27,29,0.28164556962025317,0.3449367088607595
663616,"Larnach, Trevor",L,81,72,13,9,3,0,1,6,20,0.18055555555555555,0.2638888888888889
663616,"Larnach, Trevor",R,343,300,79,51,12,1,15,35,74,0.2633333333333333,0.46
663624,"Mountcastle, Ryan",L,57,49,11,10,1,0,0,4,9,0.22448979591836735,0.24489795918367346
663624,"Mountcastle, Ryan",R,158,144,37,22,12,0,3,7,42,0.2569444444444444,0.4027777777777778
663647,"Hayes, Ke'Bryan",L,90,86,18,15,3,0,0,2,19,0.20930232558139536,0.2441860465116279
663647,"Hayes, Ke'Bryan",R,340,312,76,63,8,2,3,20,63,0.24358974358974358,0.3108974358974359
663656,"Tucker, Kyle",L,165,141,38,26,5,1,6,23,24,0.2695035460992908,0.44680851063829785
663656,"Tucker, Kyle",R,328,272,75,45,15,3,12,49,49,0.2757352941176471,0.4852941176470588
663697,"India, Jonathan",L,91,75,18,13,3,0,2,14,17,0.24,0.36
663697,"India, Jonathan",R,384,338,81,54,22,0,5,39,63,0.23964497041420119,0.34911242603550297
663698,"Bart, Joey",L,67,57,19,14,3,0,2,10,20,0.3333333333333333,0.49122807017543857
663698,"Bart, Joey",R,191,161,34,29,4,1,0,26,50,0.2111801242236025,0.2484472049689441
663728,"Raleigh, Cal",L,142,128,39,18,5,0,16,11,48,0.3046875,0.71875
663728,"Raleigh, Cal",R,364,307,69,29,11,0,29,51,91,0.2247557003257329,0.5439739413680782
663757,"Grisham, Trent",L,113,92,19,14,1,0,4,17,28,0.20652173913043478,0.34782608695652173
663757,"Grisham, Trent",R,292,245,66,40,8,1,17,38,57,0.2693877551020408,0.5183673469387755
663853,"Gonzalez, Romy",L,107,96,35,18,9,2,6,8,28,0.3645833333333333,0.6875
663853,"Gonzalez, Romy",R,104,95,24,11,10,1,2,4,24,0.25263157894736843,0.4421052631578947
663886,"Stephenson, Tyler",L,61,49,14,7,5,0,2,10,14,0.2857142857142857,0.5102040816326531
663886,"Stephenson, Tyler",R,217,191,43,26,10,0,7,20,83,0.225130890052356,0.387434554973822
663968,"Mangum, Jake",L,92,83,17,15,2,0,0,3,12,0.20481927710843373,0.2289156626506024
663968,"Mangum, Jake",R,205,190,60,47,10,1,2,13,33,0.3157894736842105,0.4105263157894737
663993,"Lowe, Nathaniel",L,152,136,24,15,7,0,2,13,47,0.17647058823529413,0.27205882352941174
663993,"Lowe, Nathaniel",R,334,297,70,45,10,2,13,33,82,0.2356902356902357,0.41414141414141414
664023,"Happ, Ian",L,141,120,28,20,5,0,3,19,31,0.23333333333333334,0.35
664023,"Happ, Ian",R,334,286,66,39,14,0,13,41,73,0.23076923076923078,0.4160839160839161
664040,"Lowe, Brandon",L,96,86,19,15,1,0,3,4,24,0.22093023255813954,0.3372093023255814
664040,"Lowe, Brandon",R,305,278,83,51,12,0,20,23,75,0.29856115107913667,0.5575539568345323
664056,"Bader, Harrison",L,104,94,20,13,2,0,5,10,36,0.2127659574468085,0.39361702127659576
664056,"Bader, Harrison",R,232,197,54,34,12,0,8,27,50,0.27411167512690354,0.45685279187817257
664238,"Moore, Dylan",L,101,84,14,9,0,0,5,13,40,0.16666666666666666,0.34523809523809523
664238,"Moore, Dylan",R,103,96,22,14,4,0,4,5,32,0.22916666666666666,0.3958333333333333
664728,"Isbel, Kyle",L,52,42,9,7,2,0,0,4,13,0.21428571428571427,0.2619047619047619
664728,"Isbel, Kyle",R,270,247,68,47,13,4,4,11,47,0.27530364372469635,0.4089068825910931
664770,"Lukes, Nathan",L,36,27,7,3,3,1,0,6,7,0.25925925925925924,0.4444444444444444
664770,"Lukes, Nathan",R,270,231,61,43,8,0,10,27,28,0.26406926406926406,0.42857142857142855
664983,"McCarthy, Jake",L,26,26,4,3,1,0,0,0,4,0.15384615384615385,0.19230769230769232
664983,"McCarthy, Jake",R,105,91,16,8,3,3,2,11,20,0.17582417582417584,0.34065934065934067
665019,"Clemens, Kody",L,40,31,5,5,0,0,0,5,7,0.16129032258064516,0.16129032258064516
665019,"Clemens, Kody",R,209,188,43,18,9,3,13,18,47,0.22872340425531915,0.5159574468085106
665161,"Peña, Jeremy",L,64,59,18,15,0,0,3,5,5,0.3050847457627119,0.4576271186440678
665161,"Peña, Jeremy",R,329,295,96,65,20,2,9,27,58,0.3254237288135593,0.49830508474576274
665487,"Tatis Jr., Fernando",L,137,115,26,20,3,1,2,18,29,0.22608695652173913,0.3217391304347826
665487,"Tatis Jr., Fernando",R,378,323,92,58,18,1,15,48,67,0.2848297213622291,0.48606811145510836
665489,"Guerrero Jr., Vladimir",L,124,107,33,22,7,0,4,16,19,0.308411214953271,0.48598130841121495
665489,"Guerrero Jr., Vladimir",R,393,331,101,65,21,0,15,52,51,0.30513595166163143,0.5045317220543807
665742,"Soto, Juan",L,168,134,31,21,4,0,6,27,40,0.23134328358208955,0.39552238805970147
665742,"Soto, Juan",R,337,271,74,40,12,0,22,54,57,0.2730627306273063,0.5608856088560885
665804,"Amaya, Miguel",L,21,18,3,2,0,0,1,1,8,0.16666666666666666,0.3333333333333333
665804,"Amaya, Miguel",R,76,70,22,11,8,0,3,4,13,0.3142857142857143,0.5571428571428572
665862,"Chisholm Jr., Jazz",L,100,85,21,17,2,0,2,11,26,0.24705882352941178,0.3411764705882353
665862,"Chisholm Jr., Jazz",R,266,227,56,27,10,1,18,34,75,0.24669603524229075,0.5374449339207048
665926,"Giménez, Andrés",L,66,59,8,5,2,0,1,6,12,0.13559322033898305,0.22033898305084745
665926,"Giménez, Andrés",R,177,152,39,30,5,0,4,20,27,0.2565789473684211,0.3684210526315789
666126,"Cortes, Carlos",L,1,1,1,1,0,0,0,0,0,1.0,1.0
666126,"Cortes, Carlos",R,37,34,9,7,1,1,0,2,9,0.2647058823529412,0.35294117647058826
666139,"Lowe, Josh",L,74,69,15,9,5,0,1,4,20,0.21739130434782608,0.3333333333333333
666139,"Lowe, Josh",R,225,198,48,31,10,1,6,22,45,0.24242424242424243,0.3939393939393939
666160,"Moniak, Mickey",L,47,42,10,7,2,0,1,4,12,0.23809523809523808,0.35714285714285715
666160,"Moniak, Mickey",R,280,262,70,36,12,6,16,15,69,0.26717557251908397,0.5419847328244275
666176,"Adell, Jo",L,80,70,18,8,4,1,5,9,19,0.2571428571428571,0.5571428571428572
666176,"Adell, Jo",R,341,305,69,39,10,0,20,27,88,0.2262295081967213,0.4557377049180328
666182,"Bichette, Bo",L,122,114,33,18,9,0,6,6,13,0.2894736842105263,0.5263157894736842
666182,"Bichette, Bo",R,409,377,115,78,26,1,10,23,66,0.3050397877984085,0.4588859416445623
666185,"Carlson, Dylan",L,51,49,8,7,0,0,1,1,12,0.16326530612244897,0.22448979591836735
666185,"Carlson, Dylan",R,116,104,21,14,4,0,3,8,26,0.20192307692307693,0.3269230769230769
